273,189.14998,50.0
640,707.81027,50.0
418,410.38965,50.0
160,187.52774,50.0
287,251.37562,50.0
983,975.14834,50.0
713,703.67123,50.0
437,415.36417,50.0
384,428.07220,50.0
225,217.23488,50.0
500,534.96056,50.0
371,430.91941,50.0
844,811.56642,50.0
734,644.15431,50.0
818,779.68685,50.0
571,535.95264,50.0
110,154.59797,50.0
779,860.42640,50.0
292,345.08891,50.0
688,635.74844,50.0
766,592.94574,50.0
445,410.25252,50.0
61,42.33604,50.0
478,524.32070,50.0
950,949.47483,50.0
81,75.53511,50.0
582,560.01891,50.0
89,54.03931,50.0
656,657.62655,50.0
680,601.66748,50.0
